provider_id,provider_name,provider_type,county,address,npi
PRV0001,Martin-Shannon,Primary Care,Dallas,"66167 Shaw Trafficway Apt. 093, South Luis, GU 23527",4157200566
PRV0002,Pace PLC,Primary Care,Tarrant,"922 Fowler Spur Apt. 700, Mooreside, KS 77514",6556909842
PRV0003,"Brown, Walker and Fernandez",Specialist,El Paso,"0135 Melissa Unions, Jessicastad, NH 12422",3129623416
PRV0004,Baldwin Group,Specialist,El Paso,"50002 Oconnor Inlet, East Scott, AZ 03051",2358964734
PRV0005,Wheeler Inc,Primary Care,Tarrant,"5122 Lee Row Apt. 699, Port Katiefort, OH 17907",1248503844
PRV0006,Hodges Group,Primary Care,Tarrant,"39941 Schultz Course Suite 780, North Calvin, NJ 82958",4793133723
PRV0007,George PLC,Pediatrics,Harris,"910 Mitchell Walks, Rodriguezview, WI 14487",2543992710
PRV0008,Taylor LLC,Primary Care,Tarrant,"9398 White Motorway Suite 320, Port Amyfort, NC 90750",2573239772
PRV0009,Pena-Ford,Mental Health,Harris,"884 Carol Shore, South Mark, DE 64146",124568615
PRV0010,Baker LLC,Primary Care,Bexar,"568 Garrett Street, Carterview, GU 57391",5597471587
PRV0011,"Perez, Kennedy and Ellis",Primary Care,Bexar,"177 Turner Crossing Suite 080, Michaelside, MH 76904",4767556058
PRV0012,Bradley LLC,Specialist,Dallas,"140 Little Mountain Apt. 739, Cartermouth, MT 16477",8187183492
PRV0013,Garcia-Orozco,Specialist,Travis,"4506 Kirk Grove, Bryanview, AS 01623",1293236515
PRV0014,"Gordon, Wallace and Stanley",Specialist,El Paso,"6993 Matthew Bridge Apt. 320, Josephland, PA 76137",1571143183
PRV0015,Grant-Lowe,Primary Care,Bexar,"733 Kelley Crossing Apt. 768, Martinbury, OR 43971",1878983526
PRV0016,"Browning, Nunez and Lowery",Nutritionist,El Paso,"4957 Quinn Flat, Lake Belindamouth, MO 98085",4985943668
PRV0017,Parks-Pearson,Specialist,El Paso,"9785 Cole View, Frazierfurt, FM 26914",8342337779
PRV0018,Ray-Brown,Specialist,Bexar,"964 Drake Run Suite 953, South Michael, WA 53646",8171175997
PRV0019,Brown and Sons,Specialist,Tarrant,"4848 Amanda Oval Apt. 744, Robertville, GU 41326",2985452146
PRV0020,"Caldwell, Lopez and Long",Specialist,Dallas,"78860 Phillips Way, South Mariaburgh, LA 81937",409329195
PRV0021,"Potts, Jones and Baker",Specialist,Dallas,"20749 Peters Brook Apt. 762, Christinaland, GA 76986",9036880446
PRV0022,"Jackson, Mathews and Roberts",Specialist,Williamson,"2950 Barajas Radial, Port Brianfurt, VA 87611",7173122478
PRV0023,Patterson Inc,Nutritionist,Bexar,"PSC 5121, Box 6217, APO AE 35799",1843048633
PRV0024,"Williams, Miller and Kramer",Specialist,Williamson,"USNS Mcgee, FPO AA 14044",2530192113
PRV0025,Lynch-Walters,Primary Care,Dallas,"06264 Jamie Ridge Suite 349, Russelltown, RI 76223",2758200086
PRV0026,James-Holmes,Primary Care,Bexar,"97969 David View, South Belindaside, PA 74452",5507366997
PRV0027,Heath Group,Specialist,El Paso,"Unit 7892 Box 1126, DPO AP 59923",323244044
PRV0028,Mccarthy and Sons,Specialist,Tarrant,"836 Steven Lane, Williamsville, VA 55386",5387458687
PRV0029,Chen-Lara,Primary Care,Harris,"054 Suarez Forest, Hollyfort, AZ 49710",4123304155
PRV0030,"Jackson, Manning and Leblanc",Primary Care,Williamson,"6555 Anderson Port, Archerview, NE 82639",2709150200
PRV0031,"Crosby, Bradford and Schaefer",Pediatrics,Williamson,"3171 Heidi Vista Suite 683, Turnerfurt, MA 22393",1610932825
PRV0032,Cameron Group,Specialist,Harris,"91757 Williams Island Suite 594, Charlesborough, CT 10248",4820181240
PRV0033,Hale LLC,Specialist,Harris,"894 Alexandra Keys, East Bridgetberg, RI 57150",4863094810
PRV0034,Nelson Inc,Primary Care,Williamson,"7527 Day Cape Apt. 805, West Alejandro, IA 12909",9298560435
PRV0035,"Burns, Hoffman and Hughes",Pediatrics,Williamson,"5220 Kidd Trace Apt. 257, Lake Shelley, ME 65635",6179255720
PRV0036,Tran-Richardson,Primary Care,Bexar,"21764 Brent Mission Suite 139, Snydershire, MO 58978",4852330796
PRV0037,Brown Ltd,Specialist,Tarrant,"01829 Andrew Shoal, Lake William, IA 87318",3154727990
PRV0038,"Young, Wang and Williams",Primary Care,Harris,"450 Clark Park Suite 306, Haynesfort, IL 31110",1189601312
PRV0039,Pitts-Donaldson,Primary Care,Travis,"USS Bryan, FPO AA 85926",2755456096
PRV0040,"Tate, Walters and Taylor",Nutritionist,Dallas,"82028 Debbie Square, Johnton, TN 49610",7368233486
PRV0041,Thornton Inc,Primary Care,Williamson,"2124 Smith Rapids, Rubentown, CO 58458",2777540042
PRV0042,"Davidson, Smith and Duncan",Specialist,Tarrant,"7088 Tracy Junction, Millerhaven, VI 72676",1611095401
PRV0043,"Hill, Rowe and Adams",Primary Care,Bexar,"9030 Robinson Springs Suite 236, Andrewsfort, PW 73364",5394352813
PRV0044,Weber-Young,Specialist,Dallas,"8584 Haynes Junctions Apt. 976, Port Kevin, MN 06580",7899168181
PRV0045,Campbell-Brady,Primary Care,El Paso,"4527 Luna Ford, Thomasfurt, MH 47102",4684654448
PRV0046,"Alvarado, Thornton and Ramirez",Primary Care,Travis,"3942 Elizabeth Springs, Timothyfort, MA 01613",4083935371
PRV0047,"Carson, King and Lopez",Nutritionist,Tarrant,"2255 Johnson Forks Apt. 149, Bruceberg, NJ 69824",5900375469
PRV0048,Bell Ltd,Primary Care,Tarrant,"37519 Contreras Mountain Apt. 742, Garzamouth, NM 03941",9335341219
PRV0049,"Anderson, Nash and Newton",Primary Care,Hays,"41397 Tammy Estate, New Michael, AR 29755",1432046945
PRV0050,King-Guzman,Primary Care,Tarrant,"988 Christopher Freeway, New Ryan, NE 37601",3750585615
PRV0051,"Jones, Thompson and Cole",Pediatrics,Travis,"09628 Morris Drives Suite 806, Lake Gina, MO 38857",4011466554
PRV0052,"Wilcox, Richards and Fitzgerald",Specialist,Williamson,"6812 Harris Walks Suite 438, New Michaelchester, FM 06446",696887995
PRV0053,Johnson Ltd,Primary Care,Travis,"309 Wolf Parkway, New Ashleyhaven, NC 45481",1617957344
PRV0054,Myers-Ramirez,Nutritionist,Travis,"30566 Chapman Park, New Nicoleburgh, DC 47223",9382351427
PRV0055,"Gonzalez, Boyd and Mcmahon",Specialist,Williamson,"9032 Cox Square, North Yvonne, MD 87339",582245366
PRV0056,Lopez-Anderson,Primary Care,El Paso,"Unit 1983 Box 5103, DPO AE 51721",5564743961
PRV0057,Vincent-Webb,Primary Care,Tarrant,"65011 Ashley Gateway, Erikaborough, KY 98210",7745779134
PRV0058,Miller Group,Pediatrics,Bexar,"383 Wood Rue, Hillland, DE 61161",2785440215
PRV0059,"Rhodes, Thompson and Hughes",Specialist,Hays,"53499 Jenna Forges Apt. 225, North Michael, MI 52220",8644273303
